"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y"
21, 2.066060984357960e-01, -3.919227953739900e-02, 1.480876576237177e+00, 1.232009162659274e+02, -2.759393314337647e+02, 3.247288700234797e+05, 1.368496348395997e+01, 3.091376382017587e+04, 0.000000000000000e+00, -1.500000000000000e+02
22, 2.037723332165130e-01, -3.658979445180800e-02, 1.470335676751485e+00, 1.228039027407434e+02, -2.935064074024289e+02, 3.253887470852692e+05, 1.459794284137577e+01, 3.338674449566900e+04, 0.000000000000000e+00, -1.500000000000000e+02
23, 1.997638235026400e-01, -3.531559652562100e-02, 1.463887484806577e+00, 1.200456115503389e+02, -3.145269127485939e+02, 3.278974395738598e+05, 1.618547678858890e+01, 3.732996290478361e+04, 0.000000000000000e+00, -1.500000000000000e+02
24, 1.971811751858510e-01, -3.399537446411500e-02, 1.456517574001355e+00, 1.202014164883320e+02, -3.272350321740275e+02, 3.288708951247794e+05, 1.748300661496525e+01, 4.037696500888688e+04, 0.000000000000000e+00, -1.500000000000000e+02
25, 2.058544453025430e-01, -3.715965056032900e-02, 1.472013004818581e+00, 1.252191983355308e+02, -2.820210644725190e+02, 3.237620609059473e+05, 1.397112244757239e+01, 3.167047418997645e+04, 0.000000000000000e+00, -1.500000000000000e+02
26, 2.023716356486860e-01, -3.502472851145200e-02, 1.463293096340580e+00, 1.232332831095950e+02, -3.019006044257630e+02, 3.253385443146155e+05, 1.506863241901927e+01, 3.463070417198921e+04, 0.000000000000000e+00, -1.500000000000000e+02
27, 1.949666940000000e-01, -3.277390519971100e-02, 1.448818049762603e+00, 1.216539209239216e+02, -3.370535247660437e+02, 3.293478269550932e+05, 1.900467951064735e+01, 4.384573143936993e+04, 0.000000000000000e+00, -1.500000000000000e+02
28, 2.083523129626810e-01, -3.769595209946400e-02, 1.472708791409287e+00, 1.287453954076228e+02, -2.682766923234815e+02, 3.216687678528635e+05, 1.340751525278143e+01, 2.998645673011356e+04, 0.000000000000000e+00, -1.500000000000000e+02
29, 2.048664173362340e-01, -3.466829716238700e-02, 1.460744398147191e+00, 1.280832939921040e+02, -2.897674238888365e+02, 3.226453087025592e+05, 1.434565340771986e+01, 3.258484964435301e+04, 0.000000000000000e+00, -1.500000000000000e+02
30, 2.011692148639450e-01, -3.338356998213000e-02, 1.455607870696838e+00, 1.243275741738044e+02, -3.086157024565431e+02, 3.249039261423000e+05, 1.549395386840238e+01, 3.575723258818960e+04, 0.000000000000000e+00, -1.500000000000000e+02
31, 1.992608377521930e-01, -3.260428903978300e-02, 1.452024932595050e+00, 1.231491535157059e+02, -3.174756276598099e+02, 3.258247892021424e+05, 1.638193496635041e+01, 3.790767376607713e+04, 0.000000000000000e+00, -1.500000000000000e+02
32, 1.970224579705840e-01, -3.156609019085100e-02, 1.446572497575192e+00, 1.227427249079932e+02, -3.271638189122921e+02, 3.266001704282612e+05, 1.762322466462919e+01, 4.077615204591439e+04, 0.000000000000000e+00, -1.500000000000000e+02
