"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
27421, 2.042631036426022e+01, 2.612439759463358e-01, 9.516065169428421e+00, -7.530402426300026e+01, 1.228460514570714e+02, 2.118215541373672e+06, 8.500224843063472e-05
27422, 2.042632589800531e+01, 2.612549098832249e-01, 9.516751163717307e+00, -8.257314211889889e+01, 1.347248558110266e+02, 2.118438472641208e+06, 1.089683428924650e-04
27423, 2.042634445286924e+01, 2.612679703338843e-01, 9.517490828026622e+00, -8.973435519162447e+01, 1.464356604875015e+02, 2.118678658554215e+06, 1.377153471683973e-04
27424, 2.042636655279390e+01, 2.612835260920178e-01, 9.518283708512030e+00, -9.679900606229313e+01, 1.579987694431576e+02, 2.118935799676902e+06, 1.720225796130753e-04
27425, 2.042639280701610e+01, 2.613020059889829e-01, 9.519129660678425e+00, -1.037756881050173e+02, 1.694303647496665e+02, 2.119209660777274e+06, 2.127632580608089e-04
27426, 2.042642392340630e+01, 2.613239082826520e-01, 9.520028842420487e+00, -1.106707972682573e+02, 1.807434706656126e+02, 2.119500061759771e+06, 2.609119892968130e-04
27427, 2.042646072383597e+01, 2.613498114742718e-01, 9.520981701027406e+00, -1.174887611553557e+02, 1.919484022697351e+02, 2.119806865693335e+06, 3.175502378828337e-04
27428, 2.042650416187610e+01, 2.613803867661024e-01, 9.521988955700865e+00, -1.242320805218169e+02, 2.030529201033649e+02, 2.120129964175276e+06, 3.838705284559868e-04
27429, 2.042655534317338e+01, 2.614164124039282e-01, 9.523051573439991e+00, -1.309012347538442e+02, 2.140621761926898e+02, 2.120469259198344e+06, 4.611802620932336e-04
27430, 2.042661554890183e+01, 2.614587901841379e-01, 9.524170734129298e+00, -1.374944686870634e+02, 2.249784810729374e+02, 2.120824640128107e+06, 5.509065985153518e-04
27431, 2.042668626274491e+01, 2.615085644461191e-01, 9.525347779197402e+00, -1.440074627703657e+02, 2.358008963157740e+02, 2.121195954037284e+06, 6.546048181324226e-04
27432, 2.042676920193106e+01, 2.615669439175169e-01, 9.526584136885685e+00, -1.504328812768996e+02, 2.465246449453124e+02, 2.121582967384862e+06, 7.739739862130717e-04
27433, 2.042686635292020e+01, 2.616353268334337e-01, 9.527881215816370e+00, -1.567597897920410e+02, 2.571403261233426e+02, 2.121985316852208e+06, 9.108857523860687e-04
27434, 2.042698001242726e+01, 2.617153298121172e-01, 9.529240257175033e+00, -1.629729321045369e+02, 2.676329181983840e+02, 2.122402447092369e+06, 1.067435107564680e-03
27435, 2.042711283456730e+01, 2.618088210396841e-01, 9.530662134459284e+00, -1.690518571520967e+02, 2.779805544692586e+02, 2.122833533271827e+06, 1.246026672390831e-03
27436, 2.042726788502192e+01, 2.619179583968472e-01, 9.532147088538343e+00, -1.749698886773986e+02, 2.881530586526445e+02, 2.123277386690998e+06, 1.449518283159741e-03
